ID,Title,Abstract,Authors,Source_title
43,On inferring evolutionary stability in finite populations using infinite population models,Models of evolution by natural selection often make the simplifying assumption that populations are infinitely large  In this infinite population limit  rare mutations that are selected against always go extinct  whereas in finite populations they can persist and even reach fixation  Nevertheless  for mutations of arbitrarily small phenotypic effect  it is widely believed that in sufficiently large populations  if selection opposes the invasion of rare mutants  then it also opposes their fixation  Here  we identify circumstances under which infinite population models do or do not accurately predict evolutionary outcomes in large  finite populations  We show that there is no population size above which considering only invasion generally suffices  for any finite population size  there are situations in which selection opposes the invasion of mutations of arbitrarily small effect  but favours their fixation  This is not an unlikely limiting case  it can occur when fitness is a smooth function of the evolving trait  and when the selection process is biologically sensible  Nevertheless  there are circumstances under which opposition of invasion does imply opposition of fixation  in fact  for the n player snowdrift game  a common model of cooperation  we identify sufficient conditions under which selection against rare mutants of small effect precludes their fixation in sufficiently large populations for any selection process  We also find conditions under which no matter how large the population the trait that fixes depends on the selection process  which is important because any particular selection process is only an approximation of reality     0    The Author s  ,Molina C.; Earn D.J.D.,Journal of Mathematical Biology
44,Discrete-time population dynamics of spatially distributed semelparous two-sex populations,Spatially distributed populations with two sexes may face the problem that males and females concentrate in different parts of the habitat and mating and reproduction does not happen sufficiently often for the population to persist  For simplicity  to explore the impact of sex dependent dispersal on population survival  we consider a discrete time model for a semelparous population where individuals reproduce only once in their life time  during a very short reproduction season  The dispersal of females and males is modeled by Feller kernels and the mating by a homogeneous pair formation function  The spectral radius of a homogeneous operator is established as basic reproduction number of the population  R  If R      the extinction state is locally stable  and if R    the population shows various degrees of persistence that depend on the irreducibility properties of the dispersal kernels  Special cases exhibit how sex biased dispersal affects the persistence of the population     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Thieme H.R.,Journal of Mathematical Biology
45,Solving the chemical master equation for monomolecular reaction systems and beyond: a Doi-Peliti path integral view,The chemical master equation  CME  is a fundamental description of interacting molecules commonly used to model chemical kinetics and noisy gene regulatory networks  Exact time dependent solutions of the CME which typically consists of infinitely many coupled differential equations are rare  and are valuable for numerical benchmarking and getting intuition for the behavior of more complicated systems  Jahnke and Huisinga s landmark calculation of the exact time dependent solution of the CME for monomolecular reaction systems is one of the most general analytic results known  however  it is hard to generalize  because it relies crucially on special properties of monomolecular reactions  In this paper  we rederive Jahnke and Huisinga s result on the time dependent probability distribution and moments of monomolecular reaction systems using the Doi Peliti path integral approach  which reduces solving the CME to evaluating many integrals  While the Doi Peliti approach is less intuitive  it is also more mechanical  and hence easier to generalize  To illustrate how the Doi Peliti approach can go beyond the method of Jahnke and Huisinga  we also find an explicit and exact time dependent solution to a problem involving an autocatalytic reaction that Jahnke and Huisinga identified as not solvable using their method  Most interestingly  we are able to find a formal exact time dependent solution for any CME whose list of reactions involves only zero and first order reactions  which may be the most general result currently known  This formal solution also yields a useful algorithm for efficiently computing numerical solutions to CMEs of this type     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Vastola J.J.,Journal of Mathematical Biology
46,Corrigendum to “Best match graphs”,Two errors in the article Best Match Graphs  Gei  et al  in JMB      0    0     0 9  are corrected  One concerns the tacit assumption that digraphs are sink free  which has to be added as an additional precondition in Lemma 9  Lemma     Theorem    Correspondingly  Algorithm   requires that its input is sink free  The second correction concerns an additional necessary condition in Theorem 9 required to characterize best match graphs  The amended results simplify the construction of least resolved trees for n cBMGs  i e   Algorithm    All other results remain unchanged and are correct as stated     0    The Author s  ,Schaller D.; Geiß M.; Chávez E.; González Laffitte M.; López Sánchez A.; Stadler B.M.R.; Valdivia D.I.; Hellmuth M.; Hernández Rosales M.; Stadler P.F.,Journal of Mathematical Biology
47,Derivation of continuum models from discrete models of mechanical forces in cell populations,In certain discrete models of populations of biological cells  the mechanical forces between the cells are center based or vertex based on the microscopic level where each cell is individually represented  The cells are circular or spherical in a center based model and polygonal or polyhedral in a vertex based model  On a higher  macroscopic level  the time evolution of the density of the cells is described by partial differential equations  PDEs   We derive relations between the modelling on the micro and macro levels in one  two  and three dimensions by regarding the micro model as a discretization of a PDE for conservation of mass on the macro level  The forces in the micro model correspond on the macro level to a gradient of the pressure scaled by quantities depending on the cell geometry  The two levels of modelling are compared in numerical experiments in one and two dimensions     0    The Author s  ,Lötstedt P.,Journal of Mathematical Biology
48,Stability of a one-dimensional morphoelastic model for post-burn contraction,To deal with permanent deformations and residual stresses  we consider a morphoelastic model for the scar formation as the result of wound healing after a skin trauma  Next to the mechanical components such as strain and displacements  the model accounts for biological constituents such as the concentration of signaling molecules  the cellular densities of fibroblasts and myofibroblasts  and the density of collagen  Here we present stability constraints for the one dimensional counterpart of this morphoelastic model  for both the continuous and  semi   discrete problem  We show that the truncation error between these eigenvalues associated with the continuous and semi discrete problem is of order O h    Next we perform numerical validation to these constraints and provide a biological interpretation of the  in stability  For the mechanical part of the model  the results show the components reach equilibria in a  non  monotonic way  depending on the value of the viscosity  The results show that the parameters of the chemical part of the model need to meet the stability constraint  depending on the decay rate of the signaling molecules  to avoid unrealistic results     0    The Author s  ,Egberts G.; Vermolen F.; van Zuijlen P.,Journal of Mathematical Biology
49,Pace and motor control optimization for a runner,We present a model which encompasses pace optimization and motor control effort for a runner on a fixed distance  We see that for long races  the long term behaviour is well approximated by a turnpike problem  that allows to define an approximate optimal velocity  We provide numerical simulations quite consistent with this approximation which leads to a simplified problem  The advantage of this simplified formulation for the velocity is that if we have velocity data of a runner on a race  and have access to his V  O  max  then we can infer the values of all the physiological parameters  We are also able to estimate the effect of slopes and ramps     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Aftalion A.; Trélat E.,Journal of Mathematical Biology
50,A general theory of coexistence and extinction for stochastic ecological communities,We analyze a general theory for coexistence and extinction of ecological communities that are influenced by stochastic temporal environmental fluctuations  The results apply to discrete time  stochastic difference equations   continuous time  stochastic differential equations   compact and non compact state spaces and degenerate or non degenerate noise  In addition  we can also include in the dynamics auxiliary variables that model environmental fluctuations  population structure  eco environmental feedbacks or other internal or external factors  We are able to significantly generalize the recent discrete time results by Benaim and Schreiber  J Math Biol  9  9        0 9  to non compact state spaces  and we provide stronger persistence and extinction results  The continuous time results by Hening and Nguyen  Ann Appl Probab         9   9     0  a  are strengthened to include degenerate noise and auxiliary variables  Using the general theory  we work out several examples  In discrete time  we classify the dynamics when there are one or two species  and look at the Ricker model  Log normally distributed offspring models  lottery models  discrete Lotka Volterra models as well as models of perennial and annual organisms  For the continuous time setting we explore models with a resource variable  stochastic replicator models  and three dimensional Lotka Volterra models     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Hening A.; Nguyen D.H.; Chesson P.,Journal of Mathematical Biology
51,Analysis of an age-structured tuberculosis model with treatment and relapse,A new tuberculosis model consisting of ordinary differential equations and partial differential equations is established in this paper  The model includes latent age  i e   the time elapsed since the individual became infected but not infectious  and relapse age  i e   the time between cure and reappearance of symptoms of tuberculosis   We identify the basic reproduction number R for this model  and show that the R determines the global dynamics of the model  If R      the disease free equilibrium is globally asymptotically stable  which means that tuberculosis will disappear  and if R      there exists a unique endemic equilibrium that attracts all solutions that can cause the spread of tuberculosis  Based on the tuberculosis data in China from  00  to  0    we use Grey Wolf Optimizer algorithm to find the optimal parameter values and initial values of the model  Furthermore  we perform uncertainty and sensitivity analysis to identify the parameters that have significant impact on the basic reproduction number  Finally  we give an effective measure to reach the goal of WHO of reducing the incidence of tuberculosis by  0  by  0 0 compared to  0       0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Guo Z.-K.; Xiang H.; Huo H.-F.,Journal of Mathematical Biology
52,Why meals during resting time cause fat accumulation in mammals? Mathematical modeling of circadian regulation on glucose metabolism,Synchronization of metabolic rhythms regulated by circadian clock and meal timing is essential for maintaining nutrient homeostasis in response to fluctuating food intake in animals  Despite numerous experimental findings on the involvement of circadian regulation of glucose and lipid metabolism  the optimal regulatory strategy for the maintenance of energy homeostasis remains poorly defined  A mathematical framework is useful to assess the circadian regulation of glycogen production breakdown and de novo lipogenesis lipolysis by evaluating the contribution of time of the day dependent activation or the repression of each metabolic process in the maintenance of energy homeostasis  Here  we present a mathematical model that describes the dynamics of glycogen and triglyceride contents  two major forms of energy storage in the body that provide the fuel needed during different phases of food deprivation  By changing peak phases of glycogenesis and fat synthesis  we searched for the optimal phase set that minimizes the risks of two types of possible metabolic dysfunctions      high blood glucose and     energy exhaustion  Based on the optimal phase set  we compared the level of fat accumulation between meal timing in the active and resting periods  Our results showed that an increased fat accumulation by food intake in the resting period can be the byproduct of minimizing energy homeostasis risks in the synchronized feeding schedule that animals adopt in nature  Our finding will be useful to schedule an optimal meal timing to prevent metabolic diseases caused by misalignment of biological and social time in modern society     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Hara A.; Satake A.,Journal of Mathematical Biology
53,Physiological insights into electrodiffusive maintenance of gastric mucus through sensitivity analysis and simulations,It is generally accepted that the gastric mucosa and adjacent mucus layer are critical in the maintenance of a pH gradient from stomach lumen to stomach wall  protecting the mucosa from the acidic environment of the lumen and preventing auto digestion of the epithelial layer  No conclusive study has shown precisely which physical  chemical  and regulatory mechanisms are responsible for maintaining this gradient  However  experimental work and modeling efforts have suggested that concentration dependent ion exchange at the epithelial wall  together with hydrogen ion mucus network binding  may produce the enormous pH gradients seen in vivo  As of yet  there has been no exhaustive study of how sensitive these modeling results are with respect to variation in model parameters  nor how sensitive such a regulatory mechanism may be to variation in physical biological parameters  In this work  we perform sensitivity analysis  using Sobol  Indices  on a previously reported model of gastric pH gradient maintenance  We quantify the sensitivity of mucosal wall pH  as a proxy for epithelial health  to variations in biologically relevant parameters and illustrate how variations in these parameters affects the distribution of the measured pH values  In all parameter regimes  we see that the rate of cation hydrogen exchange at the epithelial wall is the dominant parameter effect with regards to variation in mucosal pH  By careful sensitivity analysis  we also investigate two different regimes representing high and low hydrogen secretion with different physiological interpretations  By complementing mechanistic modeling and biological hypotheses testing with parametric sensitivity analysis we are able to conclude which biological processes must be tightly regulated in order to robustly maintain the pH values necessary for healthy function of the stomach     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Aggarwal M.; Cogan N.G.; Lewis O.L.,Journal of Mathematical Biology
54,Gain and loss of function mutations in biological chemical reaction networks: a mathematical model with application to colorectal cancer cells,This paper studies a system of Ordinary Differential Equations modeling a chemical reaction network and derives from it a simulation tool mimicking Loss of Function and Gain of Function mutations found in cancer cells  More specifically  from a theoretical perspective  our approach focuses on the determination of moiety conservation laws for the system and their relation with the corresponding stoichiometric surfaces  Then we show that Loss of Function mutations can be implemented in the model via modification of the initial conditions in the system  while Gain of Function mutations can be implemented by eliminating specific reactions  Finally  the model is utilized to examine in detail the G  S phase of a colorectal cancer cell     0    The Author s  ,Sommariva S.; Caviglia G.; Piana M.,Journal of Mathematical Biology
55,Mathematical analysis on an age-structured SIS epidemic model with nonlocal diffusion,In this paper we propose an age structured susceptible infectious susceptible epidemic model with nonlocal  convolution  diffusion to describe the geographic spread of infectious diseases via long distance travel  We analyze the well posedness of the model  investigate the existence and uniqueness of the nontrivial steady state corresponding to an endemic state  and study the local and global stability of this nontrivial steady state  Moreover  we discuss the asymptotic properties of the principal eigenvalue and nontrivial steady state with respect to the nonlocal diffusion rate  The analysis is carried out by using the theory of semigroups and the method of monotone and positive operators  The spectral radius of a positive linear operator associated to the solution flow of the model is identified as a threshold ,Kang H.; Ruan S.,Journal of mathematical biology
56,A systematic search for switch-like behavior in type II toxin–antitoxin systems,Bistable switch like behavior is a ubiquitous feature of gene regulatory networks with decision making capabilities  Type II toxin antitoxin  TA  systems are hypothesized to facilitate a bistable switch in toxin concentration that influences the dormancy transition in persister cells  However  a series of recent retractions has raised fundamental questions concerning the exact mechanism of toxin propagation in persister cells and the relationship between type II TA systems and cellular dormancy  Through a careful modeling search  we identify how sp  bistablilty can emerge in type II TA systems by systematically modifying a basic model for the RelBE system with other common biological mechanisms  Our systematic search uncovers a new combination of mechanisms influencing bistability in type II TA systems and explores how toxin bistability emerges through synergistic interactions between paired type II TA systems  Our analysis also illustrates how Descartes  rule of signs and the resultant can be used as a powerful delineator of bistability in mathematical systems regardless of application     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,FitzGerald C.E.; Keener J.P.,Journal of Mathematical Biology
57,Towards a replicator dynamics model of age structured populations,We present a new modelling framework combining replicator dynamics  the standard model of frequency dependent selection  with an age structured population model  The new framework allows for the modelling of populations consisting of competing strategies carried by individuals who change across their life cycle  Firstly the discretization of the McKendrick von Foerster model is derived  We show that the Euler Lotka equation is satisfied when the new model reaches a steady state  i e  stable frequencies between the age classes   This discretization consists of unit age classes where the timescale is chosen so that only a fraction of individuals play a single game round  This implies a linear dynamics and individuals not killed during the round are moved to the next age class  linearity means that the system is equivalent to a large Bernadelli Lewis Leslie matrix  Then we use the methodology of multipopulation games to derive two  mutually equivalent systems of equations  The first contains equations describing the evolution of the strategy frequencies in the whole population  completed by subsystems of equations describing the evolution of the age structure for each strategy  The second contains equations describing the changes of the general population s age structure  completed with subsystems of equations describing the selection of the strategies within each age class  We then present the obtained system of replicator dynamics in the form of the mixed ODE PDE system which is independent of the chosen timescale  and much simpler  The obtained results are illustrated by the example of the sex ratio model which shows that when different mortalities of the sexes are assumed  the sex ratio of 0   is obtained but that Fisher s mechanism  driven by the reproductive value of the different sexes  is not in equilibrium     0    The Author s  ,Argasinski K.; Broom M.,Journal of Mathematical Biology
58,Dynamics of epidemic spreading on connected graphs,We propose a new model that describes the dynamics of epidemic spreading on connected graphs  Our model consists in a PDE ODE system where at each vertex of the graph we have a standard SIR model and connections between vertices are given by heat equations on the edges supplemented with Robin like boundary conditions at the vertices modeling exchanges between incident edges and the associated vertex  We describe the main properties of the system  and also derive the final total population of infected individuals  We present a semi implicit in time numerical scheme based on finite differences in space which preserves the main properties of the continuous model such as the uniqueness and positivity of solutions and the conservation of the total population  We also illustrate our results with a collection of numerical simulations for a selection of connected graphs     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Besse C.; Faye G.,Journal of Mathematical Biology
59,Universality in kinetic models of circadian rhythms in Arabidopsisthaliana,Biological evolution has endowed the plant Arabidopsis thaliana with genetically regulated circadian rhythms  A number of authors have published kinetic models for these oscillating chemical reactions based on a network of interacting genes  To investigate the hypothesis that the Arabidopsis circadian dynamical system is poised near a Hopf bifurcation like some other biological oscillators  we varied the kinetic parameters in the models and searched for bifurcations  Finding that each model does exhibit a supercritical Hopf bifurcation  we performed a weakly nonlinear analysis near the bifurcation points to derive the Stuart Landau amplitude equation  To illustrate a common dynamical structure  we scaled the numerical solutions to the models with the asymptotic solutions to the Stuart Landau equation to collapse the circadian oscillations onto two universal curves one for amplitude  and one for frequency  However  some models are close to bifurcation while others are far  some models are post bifurcation while others are pre bifurcation  and kinetic parameters that lead to a bifurcation in some models do not lead to a bifurcation in others  Future kinetic modeling can make use of our analysis to ensure models are consistent with each other and with the dynamics of the Arabidopsis circadian rhythm     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Xu Y.; Asadi-Zeydabadi M.; Tagg R.; Shindell O.,Journal of Mathematical Biology
60,A model of algal growth depending on nutrients and inorganic carbon in a poorly mixed water column,A reaction diffusion advection model is proposed to describe the growth of algae depending on both nutrients and inorganic carbon in a poorly mixed water column  Nutrients from the water bottom and inorganic carbon from the water surface form an asymmetric resource supply mechanism for the algal growth  The existence and stability of semi trivial steady state and positive steady state of the model are proved  and a threshold condition for the regime shift from extinction to survival of algae is established  The influence of environmental parameters on the vertical distribution of algae is investigated in the water column  It is shown that the vertical distribution of algae can exhibit many different profiles under the combined limitation of nutrients and inorganic carbon     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Zhang J.; Shi J.; Chang X.,Journal of Mathematical Biology
61,Dynamics of SIR model with vaccination and heterogeneous behavioral response of individuals modeled by the Preisach operator,We study global dynamics of an SIR model with vaccination  where we assume that individuals respond differently to dynamics of the epidemic  Their heterogeneous response is modeled by the Preisach hysteresis operator  We present a condition for the global stability of the infection free equilibrium state  If this condition does not hold true  the model has a connected set of endemic equilibrium states characterized by different proportion of infected and immune individuals  In this case  we show that every trajectory converges either to an endemic equilibrium or to a periodic orbit  Under additional natural assumptions  the periodic attractor is excluded  and we guarantee the convergence of each trajectory to an endemic equilibrium state  The global stability analysis uses a family of Lyapunov functions corresponding to the family of branches of the hysteresis operator     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Kopfová J.; Nábělková P.; Rachinskii D.; Rouf S.C.,Journal of Mathematical Biology
62,Theoretical modeling of collaterally sensitive drug cycles: shaping heterogeneity to allow adaptive therapy,In previous work  we focused on the optimal therapeutic strategy with a pair of drugs which are collaterally sensitive to each other  that is  a situation in which evolution of resistance to one drug induces sensitivity to the other  and vice versa  Yoona  Bull Math Biol        Yoon et al   0    Here  we have extended this exploration to the optimal strategy with a collaterally sensitive drug sequence of an arbitrary length  N  To explore this  we have developed a dynamical model of sequential drug therapies with N drugs  In this model  tumor cells are classified as one of N subpopulations represented as   Ri  i              N   Each subpopulation  Ri  is resistant to  Drugi  and each subpopulation  Ri    or RN  if i      is sensitive to it  so that Ri increases under  Drugi  as it is resistant to it  and after drug switching  decreases under  Drugi+   as it is sensitive to that drug s   Similar to our previous work examining optimal therapy with two drugs  we found that there is an initial period of time in which the tumor is  shaped  into a specific makeup of each subpopulation  at which time all the drugs are equally effective  R    After this shaping period  all the drugs are quickly switched with duration relative to their efficacy in order to maintain each subpopulation  consistent with the ideas underlying adaptive therapy  West Canver Res  0          9Gatenby et al   009  and Gatenby  Cancer Res          9   90 West et al   0 0   Additionally  we have developed methodologies to administer the optimal regimen under clinical or experimental situations in which no drug parameters and limited information of trackable populations data  all the subpopulations or only total population  are known  The therapy simulation based on these methodologies showed consistency with the theoretical effect of optimal therapy     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Yoon N.; Krishnan N.; Scott J.,Journal of Mathematical Biology
63,Continuous-time stochastic processes for the spread of COVID-19 disease simulated via a Monte Carlo approach and comparison with deterministic models,Two stochastic models are proposed to describe the evolution of the COVID  9 pandemic  In the first model the population is partitioned into four compartments  susceptible S  infected I  removed R and dead people D  In order to have a cross validation  a deterministic version of such a model is also devised which is represented by a system of ordinary differential equations with delays  In the second stochastic model two further compartments are added  the class A of asymptomatic individuals and the class L of isolated infected people  Effects such as social distancing measures are easily included and the consequences are analyzed  Numerical solutions are obtained with Monte Carlo simulations  Quantitative predictions are provided which can be useful for the evaluation of political measures  e g  the obtained results suggest that strategies based on herd immunity are too risky  Finally  the models are calibrated on data referring to the second wave of infection in Italy     0    The Author s  ,Calleri F.; Nastasi G.; Romano V.,Journal of Mathematical Biology
64,Dimensionality reduction via path integration for computing mRNA distributions,Inherent stochasticity in gene expression leads to distributions of mRNA copy numbers in a population of identical cells  These distributions are determined primarily by the multitude of states of a gene promoter  each driving transcription at a different rate  In an era where single cell mRNA copy number data are more and more available  there is an increasing need for fast computations of mRNA distributions  In this paper  we present a method for computing separate distributions for each species of mRNA molecules  i e  mRNAs that have been either partially or fully processed post transcription  The method involves the integration over all possible realizations of promoter states  which we cast into a set of linear ordinary differential equations of dimension M  nj  where M is the number of available promoter states and nj is the mRNA copy number of species j up to which one wishes to compute the probability distribution  This approach is superior to solving the Master equation  ME  directly in two ways   a  the number of coupled differential equations in the ME approach is M                  L  where   j is the cutoff for the probability of the jth species of mRNA  and  b  the ME must be solved up to the cutoffs   j  which must be selected a priori  In our approach  the equation for the probability to observe n mRNAs of any species depends only on the the probability of observing n    mRNAs of that species  thus yielding a correct probability distribution up to an arbitrary n  To demonstrate the validity of our derivations  we compare our results with Gillespie simulations for ten randomly selected system parameters     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Albert J.,Journal of Mathematical Biology
65,Evolution of dietary diversity and a starvation driven cross-diffusion system as its singular limit,We rigorously prove the passage from a Lotka Volterra reaction diffusion system towards a cross diffusion system at the fast reaction limit  The system models a competition of two species  where one species has a more diverse diet than the other  The resulting limit gives a cross diffusion system of a starvation driven type  We investigate the linear stability of homogeneous equilibria of those systems and rule out the possibility of cross diffusion induced instability  Turing instability   Numerical simulations are included which are compatible with the theoretical results     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Brocchieri E.; Corrias L.; Dietert H.; Kim Y.-J.,Journal of Mathematical Biology
66,Scheduling fixed length quarantines to minimize the total number of fatalities during an epidemic,We consider a susceptible  infected  removed  SIR  system where the transmission rate may be temporarily reduced for a fixed amount of time  We show that in order to minimize the total number of fatalities  the transmission rate should be reduced on a single contiguous time interval  and we characterize this interval via an integral condition  We conclude with a few numerical simulations showing the actual reduction obtained     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Feng Y.; Iyer G.; Li L.,Journal of Mathematical Biology
67,Mathematical indices for the influence of risk factors on the lethality of a disease,We develop a theoretical model to measure the relative relevance of different pathologies of the lethality of a disease in society  This approach allows a ranking of diseases to be determined  which can assist in establishing priorities for vaccination campaigns or prevention strategies  Among all possible measurements  we identify three families of rules that satisfy a combination of relevant properties  neutrality  irrelevance  and one of three composition concepts  One of these families includes  for instance  the Shapley value of the associated cooperative game  The other two families also include simple and intuitive indices  As an illustration  we measure the relative relevance of several pathologies in lethality due to COVID  9     0    The Author s  ,Martínez R.; Sánchez-Soriano J.,Journal of Mathematical Biology
68,"Dynamic modeling of bone remodeling, osteolytic metastasis and PK/PD therapy: introducing variable order derivatives as a simplification technique",Bone is constantly being renewed  in the adult skeleton  bone resorption and formation are in a tightly coupled balance  allowing for a constant bone density to be maintained  Yet this micro environment provides the necessary conditions for the growth and proliferation of tumor cells  and thus bone is a common site for the development of metastases  mainly from primary breast and prostate cancer  Mathematical and computational models with differential equations can replicate this bone remodeling process  These models have been extended to include the effects of disruptive tumor pathologies in the bone dynamics  as metastases contribute to the decoupling between bone resorption and formation and to the self perpetuating tumor growth cycle  Such models may also contemplate the counteraction effects of currently used therapies  and  in the case of treatments with drugs  their pharmocokinetics and pharmacodynamics  We present a thorough overview of biochemical models for bone remodeling  in the presence of a tumour together with anti cancer and anti resorptive therapy  formulated as systems of first order differential equations  or simplified using variable order derivatives  The latter models  of which some are new to this paper  result in equations with fewer parameters  and allow accounting for anomalous diffusion processes  In this way  more compact and parsimonious models  that promptly highlight tumorous bone interactions  are achieved  providing an effective framework to counteract the loss of bone integrity on the affected areas     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Neto J.P.; Alho I.; Costa L.; Casimiro S.; Valério D.; Vinga S.,Journal of Mathematical Biology
69,Evolutionary dynamics in an SI epidemic model with phenotype-structured susceptible compartment,We present an SI epidemic model whereby a continuous structuring variable captures variability in proliferative potential and resistance to infection among susceptible individuals  The occurrence of heritable  spontaneous changes in these phenotypic characteristics and the presence of a fitness trade off between resistance to infection and proliferative potential are explicitly incorporated into the model  The model comprises an ordinary differential equation for the number of infected individuals that is coupled with a partial integrodifferential equation for the population density function of susceptible individuals through an integral term  The expression for the basic reproduction number R is derived  the disease free equilibrium and endemic equilibrium of the model are characterised and a threshold theorem involving R is proved  Analytical results are integrated with the results of numerical simulations of a calibrated version of the model based on the results of artificial selection experiments in a host parasite system  The results of our mathematical study disentangle the impact of different evolutionary parameters on the spread of infectious diseases and the consequent phenotypic adaption of susceptible individuals  In particular  these results provide a theoretical basis for the observation that infectious diseases exerting stronger selective pressures on susceptible individuals and being characterised by higher infection rates are more likely to spread  Moreover  our results indicate that heritable  spontaneous phenotypic changes in proliferative potential and resistance to infection can either promote or prevent the spread of infectious diseases depending on the strength of selection acting on susceptible individuals prior to infection  Finally  we demonstrate that  when an endemic equilibrium is established  higher levels of resistance to infection and lower degrees of phenotypic heterogeneity among susceptible individuals are to be expected in the presence of infections which are characterised by lower rates of death and exert stronger selective pressures     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Lorenzi T.; Pugliese A.; Sensi M.; Zardini A.,Journal of Mathematical Biology
70,Optimal control of an SIR epidemic through finite-time non-pharmaceutical intervention,We consider the problem of controlling an SIR model epidemic by temporarily reducing the rate of contact within a population  The control takes the form of a multiplicative reduction in the contact rate of infectious individuals  The control is allowed to be applied only over a finite time interval  while the objective is to minimize the total number of individuals infected in the long time limit  subject to some cost function for the control  We first consider the no cost scenario and analytically determine the optimal control and solution  We then study solutions when a cost of intervention is included  as well as a cost associated with overwhelming the available medical resources  Examples are studied through the numerical solution of the associated Hamilton Jacobi Bellman equation  Finally  we provide some examples related directly to the current pandemic ,Ketcheson D.I.,Journal of mathematical biology
71,Threshold dynamics of a nonlocal and delayed cholera model in a spatially heterogeneous environment,A nonlocal and delayed cholera model with two transmission mechanisms in a spatially heterogeneous environment is derived  We introduce two basic reproduction numbers  one is for the bacterium in the environment and the other is for the cholera disease in the host population  If the basic reproduction number for the cholera bacterium in the environment is strictly less than one and the basic reproduction number of infection is no more than one  we prove globally asymptotically stability of the infection free steady state  Otherwise  the infection will persist and there exists at least one endemic steady state  For the special homogeneous case  the endemic steady state is actually unique and globally asymptotically stable  Under some conditions  the basic reproduction number of infection is strictly decreasing with respect to the diffusion coefficients of cholera bacteria and infectious hosts  When these conditions are violated  numerical simulation suggests that spatial diffusion may not only spread the infection from high risk region to low risk region  but also increase the infection level in high risk region     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Shu H.; Ma Z.; Wang X.-S.,Journal of Mathematical Biology
72,Invasive behaviour under competition via a free boundary model: a numerical approach,What will happen when two invasive species are competing and invading the environment at the same time  In this paper  we try to find all the possible scenarios in such a situation based on the diffusive Lotka Volterra competition system with free boundaries  In a recent work  Du and Wu  Calc Var Partial Differ Equ             0    considered a weak strong competition case of this model  with spherical symmetry  and theoretically proved the existence of a  chase and run coexistence  phenomenon  for certain parameter ranges when the initial functions are chosen properly  Here we use a numerical approach to extend the theoretical research of Du and Wu  Calc Var Partial Differ Equ             0    in several directions  Firstly  we examine how the longtime dynamics of the model changes as the initial functions are varied  and the simulation results suggest that there are four possible longtime profiles of the dynamics  with the chase and run coexistence the only possible profile when both species invade successfully  Secondly  we show through numerical experiments that the basic features of the model appear to be retained when the environment is perturbed by periodic variation in time  Thirdly  our numerical analysis suggests that in two space dimensions the population range and the spatial population distribution of the successful invader tend to become more and more circular as time increases no matter what geometrical shape the initial population range possesses  Our numerical simulations cover the one space dimension case  and two space dimension case with or without spherical symmetry  The numerical methods here are based on that of Liu et al   Mathematics            0    Int J Comput Math  9      9 9 9 9   0 0   In the two space dimension case without radial symmetry  the level set method is used  while the front tracking method is used for the remaining cases  We hope the numerical observations in this paper can provide further insights to the biological invasion problem  and also to future theoretical investigations  More importantly  we hope the numerical analysis may reach more biologically oriented experts and inspire applications of some refined versions of the model tailored to specific real world biological invasion problems     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Khan K.; Liu S.; Schaerf T.M.; Du Y.,Journal of Mathematical Biology
